BHID,DEPTH,YCOLLAR,XCOLLAR,ZCOLLAR
WD004,100,7362.082,1724.725,205.749
WD005,100,7239.18,1643.45,170.242
WD011,130,7280.282,1562.176,163.773
WD016,140,7319.77,1600.01,177.923
WD031,120,7160.398,1568.654,155
WD032,120,7281.089,1636.444,178.169
WD033,120,7399.957,1676.711,207.046
WD064,100,7520.261,1925.108,237.609
WD095,90,7438.865,1797.591,226.785
WRC001,120,7318.77,1682.686,191.482
WRC002,110,7399.57,1717.718,211.834
WRC003,80,7318.77,1761.158,201.157
WRC006,120,7523.068,1878.866,236.219
WRC007,140,7360.275,1605.616,186.128
WRC008,120,7360.275,1678.482,198.662
WRC009,100,7437.462,1727.527,220.386
WRC010,140,7281.089,1605.175,170.755
WRC012,130,7201.499,1479.5,167.573
WRC013,100,7524.472,1804.598,237.423
WRC014,120,7240.18,1555.169,157.841
WRC015,120,7200.096,1564.978,155
WRC017,120,7119.489,1522.939,167.569
WRC018,100,7120.296,1598.361,155
WRC019,120,7160.591,1443.066,178.227
WRC020,110,7159.591,1518.736,166.044
WRC021,100,7480.967,1759.018,229.478
WRC022,120,7479.563,1851.503,230.874
WRC023,50,7402.377,1846.636,224.754
WRC024,50,7441.672,1888.675,229.483
WRC025,140,7202.096,1682.686,168.941
WRC026,100,7160.994,1640.119,155
WRC027,60,7278.072,1727.527,189.853
WRC028,100,7562.363,1844.4,241.25
WRC029,100,7560.943,1761.158,240.972
WRC030,120,7120.893,1402.429,190.945
WRC034,150,7278.072,1513.572,158.884
WRC035,40,7120.893,1275.986,209.779
WRC036,70,7241.004,1723.323,180.886
WRC037,150,7119.489,1480.901,174.785
WRC038,50,7120.296,1681.285,166.316
WRC039,50,7118.893,1730.906,177.831
WRC040,90,7360.275,1755.553,209.107
WRC041,100,7361.485,1804.598,214.82
WRC042,90,7402.184,1808.432,221.723
WRC043,50,7358.679,1842.433,218.176
WRC044,100,7120.296,1321.155,203.161
WRC045,100,7121.489,1558.797,156.915
WRC046,50,7121.506,1641.721,157.492
WRC048,70,7160.801,1721.922,173.076
WRC049,40,7200.096,1758.355,182.724
WRC050,100,7198.676,1726.126,173.625
WRC051,90,7161.398,1683.214,163.508
WRC052,150,7201.096,1644.361,163.377
WRC053,110,7201.692,1600.01,157.458
WRC054,110,7160.801,1603.341,155
WRC055,100,7400.973,1755.897,216.58
WRC056,50,7441.672,1842.433,227.646
WRC057,40,7438.865,1927.911,231.953
WRC058,100,7476.756,1796.19,229.687
WRC059,90,7480.967,1883.401,231.786
WRC060,70,7478.16,1923.707,234.295
WRC061,30,7480.967,1954.943,236.192
WRC062,100,7482.37,1720.521,229.033
WRC063,100,7521.665,1835.426,237.027
WRC065,100,7437.462,1761.158,222.992
WRC066,120,7321.384,1643.45,188.082
WRC067,100,7318.77,1720.521,195
WRC068,30,7320.174,1803.197,207.378
WRC069,140,7240.391,1679.884,174.401
WRC070,100,7280.686,1674.278,183.464
WRC071,20,7279.879,1756.876,193.899
WRC072,30,7240.59,1756.954,185.176
WRC073,130,7161.801,1485.105,170.207
WRC074,100,7160.094,1395.423,185.366
WRC075,70,7160.994,1364.594,189.402
WRC076,150,7239.18,1518.736,155
WRC077,120,7199.886,1518.736,162.861
WRC078,80,7200.482,1402.429,177.41
WRC079,150,7201.692,1444.468,171.22
WRC080,150,7240.987,1437.461,165.369
WRC081,170,7280.282,1482.743,158.957
WRC082,120,7361.679,1640.647,193.519
WRC083,150,7321.384,1559.373,170.684
WRC084,150,7359.469,1567.781,179.354
WRC085,120,7440.268,1676.536,215.242
WRC086,100,7401.377,1642.393,202.821
WRC087,120,7523.068,1719.12,235.386
WRC088,20,7518.858,1961.542,239.539
WRC089,70,7600.254,1720.561,243.939
WRC090,70,7601.658,1919.951,245
WRC091,100,7560.977,1682.686,239.938
WRC092,100,7562.363,1995.173,243.196
WRC093,100,7558.153,1925.108,241.544
WRC094,140,7240.987,1608.418,165.765
