0.000, 2.000, WD004, S2, 
2.000, 6.000, WD004, SH, 
6.000, 15.400, WD004, ST, 
15.400, 16.650, WD004, QV1, 
16.650, 58.650, WD004, ST, 
58.650, 64.350, WD004, QV1, 
64.350, 100.000, WD004, ST, 
0.000, 1.500, WD005, S2, 
1.500, 4.000, WD005, SH, 
4.000, 24.000, WD005, ST, 
24.000, 37.750, WD005, QV1, 
37.750, 61.700, WD005, ST, 
61.700, 77.600, WD005, QV1, 
77.600, 100.000, WD005, ST, 
0.000, 4.500, WD011, S2, 
4.500, 8.000, WD011, SH, 
8.000, 88.700, WD011, ST, 
88.700, 99.150, WD011, QV1, 
99.150, 117.500, WD011, ST, 
117.500, 124.500, WD011, QV1, 
124.500, 130.000, WD011, ST, 
0.000, 0.500, WD016, S2, 
0.500, 1.500, WD016, SH, 
1.500, 81.500, WD016, ST, 
81.500, 87.600, WD016, QV1, 
87.600, 102.800, WD016, ST, 
102.800, 113.750, WD016, QV1, 
113.750, 133.000, WD016, ST, 
133.000, 135.000, WD016, QV1, 
135.000, 140.000, WD016, ST, 
0.000, 4.000, WD031, S2, 
4.000, 6.500, WD031, SH, 
6.500, 26.900, WD031, ST, 
26.900, 35.000, WD031, QV1, 
35.000, 120.000, WD031, ST, 
0.000, 0.500, WD032, S2, 
0.500, 3.000, WD032, SH, 
3.000, 50.850, WD032, ST, 
50.850, 65.150, WD032, QV1, 
65.150, 81.450, WD032, ST, 
81.450, 95.000, WD032, QV1, 
95.000, 105.350, WD032, ST, 
105.350, 112.250, WD032, QV1, 
112.250, 120.000, WD032, ST, 
0.000, 4.000, WD033, SH, 
4.000, 103.000, WD033, ST, 
103.000, 110.000, WD033, QV1, 
110.000, 120.000, WD033, ST, 
0.000, 5.000, WD064, S2, 
5.000, 13.500, WD064, SH, 
13.500, 34.500, WD064, ST, 
34.500, 39.220, WD064, MU, 
39.220, 100.000, WD064, ST, 
0.000, 0.500, WD095, S2, 
0.500, 3.500, WD095, IN, 
3.500, 6.500, WD095, SH, 
6.500, 11.500, WD095, ST, 
11.500, 17.200, WD095, QV1, 
17.200, 90.000, WD095, ST, 
0.000, 2.000, WRC001, S2, 
2.000, 3.000, WRC001, SH, 
3.000, 29.000, WRC001, ST, 
29.000, 37.000, WRC001, QV1, 
37.000, 72.000, WRC001, ST, 
72.000, 86.000, WRC001, QV1, 
86.000, 120.000, WRC001, ST, 
0.000, 1.000, WRC002, S2, 
1.000, 4.000, WRC002, SH, 
4.000, 72.000, WRC002, ST, 
72.000, 81.000, WRC002, QV1, 
81.000, 92.000, WRC002, ST, 
92.000, 98.000, WRC002, QV1, 
98.000, 110.000, WRC002, ST, 
0.000, 1.000, WRC003, S2, 
1.000, 2.000, WRC003, IN, 
2.000, 3.000, WRC003, SH, 
3.000, 4.000, WRC003, IN, 
4.000, 5.000, WRC003, SH, 
5.000, 56.000, WRC003, ST, 
56.000, 61.000, WRC003, MU, 
61.000, 80.000, WRC003, ST, 
0.000, 1.000, WRC006, S2, 
1.000, 9.000, WRC006, IN, 
9.000, 12.000, WRC006, SH, 
12.000, 80.000, WRC006, ST, 
80.000, 85.000, WRC006, MU, 
85.000, 120.000, WRC006, ST, 
0.000, 2.000, WRC007, SH, 
2.000, 4.000, WRC007, B, 
4.000, 130.000, WRC007, ST, 
130.000, 134.000, WRC007, QV1, 
134.000, 140.000, WRC007, ST, 
0.000, 2.000, WRC008, S2, 
2.000, 61.000, WRC008, ST, 
61.000, 72.000, WRC008, QV1, 
72.000, 91.000, WRC008, ST, 
91.000, 103.000, WRC008, QV1, 
103.000, 120.000, WRC008, ST, 
0.000, 3.000, WRC009, S2, 
3.000, 4.000, WRC009, SH, 
4.000, 53.000, WRC009, ST, 
53.000, 69.000, WRC009, QV1, 
69.000, 100.000, WRC009, ST, 
0.000, 1.000, WRC010, S2, 
1.000, 3.000, WRC010, SH, 
3.000, 71.000, WRC010, ST, 
71.000, 80.000, WRC010, QV1, 
80.000, 101.000, WRC010, ST, 
101.000, 105.000, WRC010, QV1, 
105.000, 126.000, WRC010, ST, 
126.000, 130.000, WRC010, QV1, 
130.000, 140.000, WRC010, ST, 
0.000, 2.000, WRC012, S2, 
2.000, 100.000, WRC012, ST, 
100.000, 115.000, WRC012, QV1, 
115.000, 130.000, WRC012, ST, 
0.000, 1.000, WRC013, S2, 
1.000, 2.000, WRC013, QV1, 
2.000, 35.000, WRC013, ST, 
35.000, 57.000, WRC013, QV1, 
57.000, 100.000, WRC013, ST, 
0.000, 5.000, WRC014, S2, 
5.000, 7.000, WRC014, SH, 
7.000, 85.000, WRC014, ST, 
85.000, 113.000, WRC014, QV1, 
113.000, 120.000, WRC014, ST, 
0.000, 3.000, WRC015, S2, 
3.000, 70.000, WRC015, ST, 
70.000, 92.000, WRC015, QV1, 
92.000, 120.000, WRC015, ST, 
0.000, 1.000, WRC017, S2, 
1.000, 4.000, WRC017, SH, 
4.000, 40.000, WRC017, ST, 
40.000, 45.000, WRC017, QV1, 
45.000, 120.000, WRC017, ST, 
0.000, 4.000, WRC018, S2, 
4.000, 6.000, WRC018, SH, 
6.000, 93.000, WRC018, ST, 
93.000, 96.000, WRC018, MU, 
96.000, 100.000, WRC018, ST, 
0.000, 1.000, WRC019, S2, 
1.000, 6.000, WRC019, SH, 
6.000, 111.000, WRC019, ST, 
111.000, 116.000, WRC019, QV1, 
116.000, 120.000, WRC019, ST, 
0.000, 2.000, WRC020, S2, 
2.000, 10.000, WRC020, SH, 
10.000, 51.000, WRC020, ST, 
51.000, 63.000, WRC020, QV1, 
63.000, 110.000, WRC020, ST, 
0.000, 18.000, WRC021, B, 
18.000, 19.000, WRC021, ST, 
19.000, 31.000, WRC021, QV1, 
31.000, 100.000, WRC021, ST, 
0.000, 1.000, WRC022, S2, 
1.000, 6.000, WRC022, IN, 
6.000, 8.000, WRC022, SH, 
8.000, 110.000, WRC022, ST, 
110.000, 115.000, WRC022, MU, 
115.000, 120.000, WRC022, ST, 
0.000, 3.000, WRC023, S2, 
3.000, 5.000, WRC023, SH, 
5.000, 29.000, WRC023, ST, 
29.000, 34.000, WRC023, MU, 
