GEOVIA                                                              Feb 25, 2022

Block model report
Block Model: bm_edu_book.mdl

Constraints used
  Unconstrained



Geometric grouping
  Solid file : str/gs_qv_ns_smooth.dtm
  Object range : 

  Partial percentage precision : 3


Object 1, Trisolation 1, Trisolation Name 

Z ,Volume ,Tonnes ,Au Ok 
0.0 -> 10.0,4737.79,12792.04,2.52
10.0 -> 20.0,7592.04,20498.51,2.48
20.0 -> 30.0,11140.63,30079.69,2.41
30.0 -> 40.0,28644.78,77340.89,2.51
40.0 -> 50.0,57683.11,155744.38,2.59
50.0 -> 60.0,86073.24,232397.75,2.44
60.0 -> 70.0,116127.93,313545.41,2.33
70.0 -> 80.0,128514.89,346990.21,2.24
80.0 -> 90.0,121864.26,329033.50,2.24
90.0 -> 100.0,118541.99,320063.38,2.35
100.0 -> 110.0,125410.16,338607.42,2.32
110.0 -> 120.0,121840.33,328968.90,2.24
120.0 -> 130.0,108851.07,293897.90,2.28
130.0 -> 140.0,97815.67,264102.32,2.47
140.0 -> 150.0,81432.13,219866.75,2.55
150.0 -> 160.0,63669.68,171908.13,2.52
160.0 -> 170.0,51057.62,137855.57,2.42
170.0 -> 180.0,41747.80,112719.07,2.29
180.0 -> 190.0,26469.48,71467.60,2.24
190.0 -> 200.0,21369.87,57698.66,2.28
200.0 -> 210.0,20595.21,55607.08,2.32
210.0 -> 220.0,18307.37,49429.91,2.29
220.0 -> 230.0,9727.29,26263.70,2.26
230.0 -> 240.0,1259.77,2556.96,2.26
240.0 -> 250.0,0.00,0.00,0.00
Trisolation Total,1470474.12,3969435.72,2.35


Z ,Volume ,Tonnes ,Au Ok 
Grand Total,1470474.12,3969435.72,2.35

                                                                             1/1
