pnt_num,y,x,z
1,7001.618,1609.63,158
1,7071.718,1606.92,158
1,7124.205,1607.661,158
1,7175.399,1604.136,158
1,7196.609,1597.71,158
1,7204.626,1591.115,158
1,7206.463,1582.138,158
1,7203.241,1576.075,158
1,7192.47,1582.648,158
1,7171.266,1591.054,158
1,7140.859,1593.319,158
1,7084.274,1594.204,158
1,7000,1599.284,158
2,6999.891,1620.648,160
2,7065.013,1620.585,160
2,7118.985,1621.538,160
2,7177.402,1616.857,160
2,7197.929,1612.021,160
2,7207.346,1605.601,160
2,7216.619,1590.084,160
2,7219.724,1581.454,160
2,7223.022,1571.243,160
2,7219.92,1564.336,160
2,7215.004,1559.772,160
2,7204.714,1557.429,160
2,7192.338,1562.675,160
2,7177.402,1575.022,160
2,7141.452,1575.317,160
2,7084.348,1580.821,160
2,7000,1590.926,160
3,7000,1629.669,162
3,7074.142,1633.346,162
3,7084.422,1633.856,162
3,7142.046,1633.737,162
3,7179.405,1629.579,162
3,7202.381,1621.65,162
3,7214.246,1610.223,162
3,7239.159,1569.626,162
3,7255.117,1542.115,162
3,7258.633,1531.936,162
3,7259.313,1524.378,162
3,7257.096,1517.922,162
3,7246.847,1517.233,162
3,7235.292,1518.933,162
3,7221.848,1525.834,162
3,7179.405,1555.449,162
3,7142.046,1557.315,162
3,7084.422,1567.438,162
3,7000,1582.568,162
4,7000,1574.211,164
4,7084.497,1554.055,164
4,7142.639,1539.313,164
4,7191.867,1520.156,164
4,7213.372,1503.416,164
4,7232.779,1489.741,164
4,7254.488,1462.977,164
4,7264.877,1442.153,164
4,7271.175,1432.357,164
4,7275.686,1428.35,164
4,7278.815,1424.325,164
4,7284.638,1422.362,164
4,7291.21,1422.003,164
4,7295.71,1425.098,164
4,7300.904,1431.428,164
4,7304.828,1444.535,164
4,7306.462,1464.012,164
4,7307.666,1485.765,164
4,7304.809,1499.189,164
4,7299.424,1507.76,164
4,7288.932,1524.38,164
4,7280.93,1532.096,164
4,7263.973,1553.457,164
4,7248.967,1574.673,164
4,7242.208,1581.305,164
4,7231.546,1596.41,164
4,7221.145,1614.846,164
4,7206.832,1631.28,164
4,7181.408,1642.3,164
4,7142.639,1647.592,164
4,7084.497,1647.82,164
4,7000,1643.894,164
5,7000,1658.119,166
5,7084.571,1661.785,166
5,7143.233,1661.447,166
5,7183.411,1655.021,166
5,7211.9,1641.213,166
5,7232.983,1621.902,166
5,7250.31,1599.759,166
5,7265.53,1578.814,166
5,7282.094,1555.456,166
5,7295.84,1534.907,166
5,7302.633,1523.66,166
5,7310.825,1505.003,166
5,7317.262,1480.211,166
5,7320.321,1464.394,166
5,7322.951,1435.8,166
5,7320.711,1409.431,166
5,7317.908,1396.777,166
5,7309.555,1385.024,166
5,7298.663,1383.116,166
5,7291.845,1384.931,166
5,7278.649,1396.03,166
5,7259.892,1417.657,166
5,7247.962,1431.81,166
5,7226.904,1456.542,166
5,7208.172,1477.456,166
5,7196.595,1489.654,166
5,7183.869,1498.659,166
5,7165.251,1508.472,166
5,7134.139,1522.996,166
5,7082.041,1542.384,166
5,7000,1565.853,166
6,7000,1672.344,168
6,7084.645,1675.749,168
6,7143.826,1675.303,168
6,7185.414,1667.742,168
6,7216.352,1651.119,168
6,7239.882,1628.736,168
6,7258.322,1605.208,168
6,7272.214,1586.126,168
6,7287.155,1564.765,168
6,7300.027,1544.634,168
6,7306.875,1532.821,168
6,7316.877,1511.128,168
6,7326.211,1482.991,168
6,7330.781,1465.495,168
6,7334.626,1434.882,168
6,7331.157,1405.813,168
6,7326.902,1391.462,168
6,7314.336,1377.075,168
6,7297.994,1374.675,168
6,7288.231,1376.836,168
6,7271.679,1389.552,168
6,7252.339,1411.317,168
6,7240.608,1424.967,168
6,7220.218,1447.776,168
6,7199.499,1468.29,168
6,7186.384,1480.516,168
6,7169.471,1491.898,168
6,7150.048,1502.677,168
6,7123.842,1515.322,168
6,7078.582,1532.634,168
6,7000,1557.495,168
7,7000,1686.569,170
7,7084.719,1689.714,170
7,7144.42,1689.158,170
7,7187.417,1680.464,170
7,7220.803,1661.025,170
7,7246.781,1635.569,170
7,7266.334,1610.658,170
7,7278.897,1593.437,170
7,7292.216,1574.075,170
7,7304.214,1554.361,170
7,7311.116,1541.982,170
7,7322.93,1517.252,170
7,7335.16,1485.77,170
7,7341.241,1466.596,170
7,7346.301,1433.965,170
7,7341.602,1402.195,170
7,7335.895,1386.147,170
7,7319.118,1369.125,170
7,7297.325,1366.234,170
7,7284.617,1368.741,170
7,7264.708,1383.073,170
7,7244.786,1404.977,170
7,7233.253,1418.124,170
7,7213.532,1439.01,170
7,7190.825,1459.124,170
7,7176.172,1471.378,170
7,7155.073,1485.137,170
7,7134.846,1496.881,170
7,7113.546,1507.648,170
7,7075.124,1522.884,170
7,7000,1549.137,170
8,7000,1700.53,172
8,7084.32,1702.452,172
8,7141.23,1704.28,172
8,7176.65,1705.151,172
8,7196.794,1703.877,172
8,7209.031,1697.977,172
8,7221.021,1684.647,172
8,7238.143,1662.756,172
8,7258.576,1636.342,172
8,7277.12,1611.99,172
8,7286.314,1599.611,172
8,7297.369,1583.242,172
8,7308.401,1564.089,172
8,7315.358,1551.144,172
8,7328.982,1523.377,172
8,7344.109,1488.549,172
8,7351.701,1467.698,172
8,7357.977,1433.047,172
8,7352.048,1398.578,172
8,7344.889,1380.832,172
8,7323.9,1361.175,172
8,7296.657,1357.793,172
8,7281.003,1360.645,172
8,7257.737,1376.594,172
8,7237.233,1398.637,172
8,7225.898,1411.281,172
8,7206.846,1430.243,172
8,7182.152,1449.958,172
8,7165.961,1462.24,172
8,7140.675,1478.376,172
8,7119.643,1491.086,172
8,7103.25,1499.975,172
8,7071.665,1513.135,172
8,7000,1540.78,172
9,7000,1532.422,174
9,7061.289,1508.278,174
9,7092.331,1494.984,174
9,7112.374,1483.984,174
9,7136.52,1468.736,174
9,7163.288,1450.765,174
9,7178.718,1439.137,174
9,7201.712,1420.986,174
9,7218.738,1404.377,174
9,7229.68,1392.297,174
9,7250.767,1370.116,174
9,7277.389,1352.55,174
9,7304.203,1335.026,174
9,7320.316,1323.421,174
9,7328.217,1320.067,174
9,7343.214,1311.312,174
9,7361.822,1303.586,174
9,7374.167,1297.573,174
9,7384.368,1291.973,174
9,7396.255,1290.244,174
9,7406.2,1291.973,174
9,7412.794,1297.573,174
9,7415.182,1307.663,174
9,7412.794,1321.726,174
9,7406.2,1334.705,174
9,7400.08,1352.747,174
